k,p_k,q_k,sin_p_k,abs_sin_p_k,term_magnitude,log10_term,cumulative_spike_sum
0,3,1,1.411200080598672e-01,1.411200080598672e-01,1.859769198533657e+00,0.269459,1.859769198533657e+00
1,22,7,-8.851309290403876e-03,8.851309290403876e-03,1.198717717715873e+00,0.078717,3.058486916249529e+00
2,333,106,-8.821166113885877e-03,8.821166113885877e-03,3.480288917195638e-04,-3.458385,3.058834945141249e+00
3,355,113,-3.014435335948845e-05,3.014435335948845e-05,2.459818122070685e+01,1.390903,2.765701616584810e+01
4,103993,33102,-1.912933577842375e-05,1.912933577842375e-05,2.429897187097985e-06,-5.614412,2.765701859574529e+01
5,104348,33215,-1.101501758424056e-05,1.101501758424056e-05,7.253994498439991e-06,-5.139423,2.765702584973979e+01
6,208341,66317,8.114318195038078e-06,8.114318195038078e-06,1.679467865687937e-06,-5.774828,2.765702752920765e+01
7,312689,99532,2.900699389332111e-06,2.900699389332111e-06,3.887377728629760e-06,-5.410343,2.765703141658538e+01
8,833719,265381,2.312919416452701e-06,2.312919416452701e-06,3.225669733793750e-07,-6.491380,2.765703173915236e+01
9,1146408,364913,-5.877799728813812e-07,5.877799728813812e-07,1.921112540037497e-06,-5.716447,2.765703366026489e+01
10,4272943,1360120,-5.495794978104908e-07,5.495794978104908e-07,4.243826846023466e-08,-7.372242,2.765703370270316e+01
11,5419351,1725033,-3.820047507089661e-08,3.820047507089661e-08,4.305470632992471e-06,-5.365979,2.765703800817380e+01
12,80143857,25510582,-1.477284681796591e-08,1.477284681796591e-08,8.901452783399888e-09,-8.050539,2.765703801707525e+01
13,165707065,52746197,-8.654781434964792e-09,8.654781434964792e-09,2.934031112950316e-09,-8.532535,2.765703802000928e+01
14,245850922,78256779,6.118065383001117e-09,6.118065383001117e-09,1.797861565190294e-09,-8.745244,2.765703802180714e+01
15,411557987,131002976,2.536716051963677e-09,2.536716051963677e-09,2.229272624044192e-09,-8.651837,2.765703802403641e+01
16,1068966896,340262731,1.044633279073763e-09,1.044633279073763e-09,7.502042453938279e-10,-9.124820,2.765703802478662e+01
17,2549491779,811528438,4.474494938161497e-10,4.474494938161497e-10,3.014054563425441e-10,-9.520849,2.765703802508802e+01
18,6167950454,1963319607,1.497342914414640e-10,1.497342914414640e-10,1.900793013541115e-10,-9.721065,2.765703802527810e+01
