P_coeffs,Q_coeffs,constant,c0,c1,c2,matching_digits,cf_value_hp,source,relation,relation_type,discovery
"(1,1)","(1,1)",e,-1,1,1,120,1.71828182845904523536028747135,hits_deg1_range3.csv,,,
"(-1,-1)","(1,1)",e,1,1,-1,120,-1.71828182845904523536028747135,hits_deg1_range3.csv,,,
"(3,1)","(0,-1)",e,0,1,1,120,2.71828182845904523536028747135,hits_deg1_range3.csv,,,
"(-3,-1)","(0,-1)",e,0,1,-1,120,-2.71828182845904523536028747135,hits_deg1_range3.csv,,,
"(3,3,0)","(1,-1,-2)",pi/4,1,1,2,120,2.57079632679489661923132169164,hits_deg2_range3.csv,,,
"(2,3,0)","(0,0,-2)",1/ln(2),0,1,1,120,1.442695040888963407359924681,hits_deg2_range3.csv,,,
"(1,3,0)","(0,3,-2)",1/pi,0,1,4,120,1.27323954473516268615107010698,hits_deg2_range3.csv,,,
"(-1,-3,0)","(0,3,-2)",1/pi,0,1,-4,120,-1.27323954473516268615107010698,hits_deg2_range3.csv,,,
"(3,3,0)","(3,1,-2)",pi/4,1,1,3,120,3.35619449019234492884698253746,hits_deg2_range3.csv,,,
"(-3,-3,0)","(3,1,-2)",pi/4,-1,1,-3,120,-3.35619449019234492884698253746,hits_deg2_range3.csv,,,
"(-1,-3,0)","(0,1,-2)",1/pi,0,1,-2,120,-0.63661977236758134307553505349,hits_deg2_range3.csv,,,
"(1,3,0)","(0,1,-2)",1/pi,0,1,2,120,0.63661977236758134307553505349,hits_deg2_range3.csv,,,
"(-3,-3,0)","(1,-1,-2)",pi/4,-1,1,-2,120,-2.57079632679489661923132169164,hits_deg2_range3.csv,,,
"(-2,-3,0)","(0,0,-2)",1/ln(2),0,1,-1,120,-1.442695040888963407359924681,hits_deg2_range3.csv,,,
"(1,1,0)","(1,1,0)",e,-1,1,1,120,1.71828182845904523536028747135,hits_deg2_range3.csv,,,
"(-1,-1,0)","(1,1,0)",e,1,1,-1,120,-1.71828182845904523536028747135,hits_deg2_range3.csv,,,
"(-3,-1,0)","(0,-1,0)",e,0,1,-1,120,-2.71828182845904523536028747135,hits_deg2_range3.csv,,,
"(3,1,0)","(0,-1,0)",e,0,1,1,120,2.71828182845904523536028747135,hits_deg2_range3.csv,,,
"(-1,-2,0)","(0,0,1)",1/pi,0,1,-4,120,-1.27323954473516268615107010698,hits_deg2_range3.csv,,,
"(1,2,0)","(0,0,1)",1/pi,0,1,4,120,1.27323954473516268615107010698,hits_deg2_range3.csv,,,
