digit_set,max_d,covered,density_pct,uncovered,time_total_s,time_enum_s,log_file
{10},10000000000,10,0.0000001000,9999999990,10.1,1.4,gpu_A10_1e10.log
"{1,10}",10000000000,2006678,0.0200667800,9997993322,10.1,1.4,gpu_A110_1e10.log
"{1,10}",100000000000,8525602,0.0085256020,99991474398,12.6,5.1,gpu_A110_1e11.log
"{1,2,10}",100000000000,99999771486,99.9997714860,228514,5390.3,5373.3,gpu_A1210_1e11.log
"{1,2,3,4}",1000000000,999999998,99.9999998000,2,81103.0,81102.2,gpu_A1234_1e9.log
"{1,2,3}",1000000000,999999973,99.9999973000,27,2999.7,2998.8,gpu_A123_1e9.log
"{1,2,4}",10000000000,9999999936,99.9999993600,64,11131.6,11122.8,gpu_A124_1e10.log
"{1,2,4}",1000000000,999999936,99.9999936000,64,917.4,916.5,gpu_A124_1e9.log
"{1,2,5}",10000000000,9999999626,99.9999962600,374,4287.9,4279.5,gpu_A125_1e10.log
"{1,2,6}",10000000000,9999998166,99.9999816600,1834,2092.3,2083.6,gpu_A126_1e10.log
"{1,2,6}",100000000000,99999998166,99.9999981660,1834,29295.4,29279.5,gpu_A126_1e11.log
"{1,2,7}",10000000000,9999992822,99.9999282200,7178,1228.6,1220.3,gpu_A127_1e10.log
"{1,2,7}",100000000000,99999992822,99.9999928220,7178,22868.8,22785.7,gpu_A127_1e11.log
"{1,2,8}",100000000000,99999976410,99.9999764100,23590,10012.4,9995.4,gpu_A128_1e11.log
"{1,2,9}",100000000000,99999922891,99.9999228910,77109,7078.1,7062.6,gpu_A129_1e11.log
"{1,2}",10000000000,7654868191,76.5486819100,2345131809,88.4,79.8,gpu_A12_1e10.log
"{1,2}",100000000000,80754334638,80.7543346380,19245665362,1012.0,924.4,gpu_A12_1e11.log
"{1,2}",1000000000000,845791333633,84.5791333633,154208666367,12374.5,11512.9,gpu_A12_1e12.log
"{1,2}",1000000000,720615327,72.0615327000,279384673,28.0,27.2,gpu_A12_1e9.log
"{1,3,5}",10000000000,9999919569,99.9991956900,80431,297.1,288.4,gpu_A135_1e10.log
"{1,3,5}",100000000000,99999919055,99.9999190550,80945,2631.6,2611.3,gpu_A135_1e11.log
"{1,3,5}",1000000000,999924453,99.9924453000,75547,61.8,61.0,gpu_A135_1e9.log
"{1,3}",10000000000,1105679198,11.0567919800,8894320802,18.0,9.3,gpu_A13_1e10.log
"{1,3}",100000000000,9109285211,9.1092852110,90890714789,22.7,10.8,gpu_A13_1e11.log
"{1,4}",10000000000,160962658,1.6096265800,9839037342,11.1,2.4,gpu_A14_1e10.log
"{1,4}",100000000000,1073467875,1.0734678750,98926532125,12.0,4.0,gpu_A14_1e11.log
"{1,5}",10000000000,43978058,0.4397805800,9956021942,10.4,1.8,gpu_A15_1e10.log
"{1,5}",100000000000,256397641,0.2563976410,99743602359,11.8,4.1,gpu_A15_1e11.log
"{1,6}",10000000000,17213899,0.1721389900,9982786101,10.6,1.9,gpu_A16_1e10.log
"{1,6}",100000000000,91234131,0.0912341310,99908765869,12.2,4.1,gpu_A16_1e11.log
"{1,7}",10000000000,8402224,0.0840222400,9991597776,10.3,1.7,gpu_A17_1e10.log
"{1,7}",100000000000,41438019,0.0414380190,99958561981,11.9,4.2,gpu_A17_1e11.log
"{1,8}",10000000000,4746521,0.0474652100,9995253479,10.3,1.6,gpu_A18_1e10.log
"{1,8}",100000000000,22070960,0.0220709600,99977929040,13.2,5.4,gpu_A18_1e11.log
"{1,9}",10000000000,2971971,0.0297197100,9997028029,10.3,1.5,gpu_A19_1e10.log
"{1,9}",100000000000,13164380,0.0131643800,99986835620,13.5,5.8,gpu_A19_1e11.log
{1},10000000000,48,0.0000004800,9999999952,10.3,1.6,gpu_A1_1e10.log
"{2,10}",10000000000,47231,0.0004723100,9999952769,10.1,1.4,gpu_A210_1e10.log
"{2,3,4,5,6,7}",10000000000,9526800277,95.2680027700,473199723,35.3,11.0,gpu_A234567_1e10.log
"{2,3,4,5,6}",10000000000,9589378314,95.8937831400,410621686,22.0,12.1,gpu_A23456_1e10.log
"{2,3,4,5}",10000000000,9713894120,97.1389412000,286105880,90.8,82.3,gpu_A2345_1e10.log
"{2,3,4,5}",100000000000,98782527648,98.7825276480,1217472352,248.0,161.3,gpu_A2345_1e11.log
"{2,3,4,5}",1000000000,972937480,97.2937480000,27062520,11.1,10.2,gpu_A2345_1e9.log
"{2,3}",10000000000,4548593,0.0454859300,9995451407,10.4,1.6,gpu_A23_1e10.log
"{2,3}",100000000000,21481287,0.0214812870,99978518713,86.9,1.6,gpu_A23_1e11.log
"{2,3}",100000000000,21481287,0.0214812870,99978518713,13.0,5.2,gpu_A23_1e11_v2.log
"{2,4}",10000000000,1060467,0.0106046700,9998939533,10.2,1.4,gpu_A24_1e10.log
"{2,4}",100000000000,4310492,0.0043104920,99995689508,12.7,5.1,gpu_A24_1e11.log
"{2,5}",10000000000,412558,0.0041255800,9999587442,10.1,1.4,gpu_A25_1e10.log
"{2,5}",100000000000,1624571,0.0016245710,99998375429,11.7,4.4,gpu_A25_1e11.log
"{2,6}",10000000000,233301,0.0023330100,9999766699,10.3,1.4,gpu_A26_1e10.log
"{2,7}",10000000000,130157,0.0013015700,9999869843,10.3,1.6,gpu_A27_1e10.log
"{2,8}",10000000000,86909,0.0008690900,9999913091,10.1,1.4,gpu_A28_1e10.log
"{2,9}",10000000000,63755,0.0006375500,9999936245,10.1,1.4,gpu_A29_1e10.log
{2},10000000000,27,0.0000002700,9999999973,10.2,1.4,gpu_A2_1e10.log
"{3,4,5,6,7,8,9,10}",10000000000,8169654055,81.6965405500,1830345945,1579.0,1.6,gpu_A345678910_1e10.log
"{3,4}",100000000000,473948,0.0004739480,99999526052,12.1,4.4,gpu_A34_1e11.log
"{3,5}",100000000000,202066,0.0002020660,99999797934,11.8,4.3,gpu_A35_1e11.log
{3},10000000000,20,0.0000002000,9999999980,10.2,1.4,gpu_A3_1e10.log
{4},10000000000,16,0.0000001600,9999999984,10.1,1.4,gpu_A4_1e10.log
{5},10000000000,15,0.0000001500,9999999985,10.1,1.4,gpu_A5_1e10.log
{6},10000000000,13,0.0000001300,9999999987,10.1,1.4,gpu_A6_1e10.log
{7},10000000000,12,0.0000001200,9999999988,10.1,1.4,gpu_A7_1e10.log
{8},10000000000,11,0.0000001100,9999999989,10.1,1.4,gpu_A8_1e10.log
{9},10000000000,11,0.0000001100,9999999989,10.1,1.4,gpu_A9_1e10.log
